title,gross,valence,arousal,dominance
I Can Do Bad All by Myself ,51697449,0.097333332,0.652333339,0.374000003
The Weather Man ,12469811,0.622800004,0.508600003,0.640200001
Blindness ,3073392,0.277800003,0.500999999,0.258999997
Paper Towns ,31990064,0.53549999,0.210999999,0.459999993
A Few Good Men ,141340178,0.873999998,0.388999999,0.652749985
The Departed ,132373442,0.450333337,0.458000004,0.492333343
Angel Eyes ,24044532,0.7852,0.300000003,0.581
Apocalypse Now ,78800000,0.050000001,0.866999984,0.736000001
My Baby's Daddy ,17321573,0.816000015,0.382500008,0.595500007
The House of Mirth ,3041803,0.750333349,0.35966666,0.577333331
The Internship ,44665963,0.589999974,0.50999999,0.481999993
The Sessions ,5997134,0.578000009,0.529500008,0.570499986
Escape Plan ,25121291,0.602400011,0.581400001,0.626599991
Light It Up ,5871603,0.770000011,0.399999999,0.592500001
The Karate Kid ,90800000,0.69524999,0.602750003,0.442499995
A Time to Kill ,108706165,0.435333336,0.527499994,0.60800001
Vampires ,20241395,0.270999998,0.801999986,0.545000017
Black or White ,21569041,0.500749998,0.306749992,0.433749989
Jurassic Park ,356784000,0.796499997,0.406000003,0.461999997
Don't Say a Word ,54997476,0.621499985,0.320250001,0.506249994
Teen Wolf Too ,7888703,0.609999994,0.634333352,0.546000004
Submarine ,466702,0.572000027,0.481000006,0.549000025
Sliding Doors ,11883495,0.50666668,0.451333339,0.448000004
Babe: Pig in the City ,18318000,0.683333337,0.478333344,0.418666671
Exit Wounds ,51758599,0.191200002,0.660000002,0.356599998
The Losers ,23527955,0.082999997,0.50999999,0.155000001
Mother and Child ,1110286,0.923333327,0.397333334,0.615999997
Behind Enemy Lines ,59068786,0.445399997,0.404200011,0.434000003
House of Sand and Fog ,13005485,0.620200014,0.247,0.413
Baby's Day Out ,16671505,0.777999997,0.317000002,0.422000006
Code 46 ,197148,0.512500003,0.326000005,0.578999996
Running Scared ,6855137,0.332400003,0.846000004,0.363999999
Semi-Pro ,33472850,0.4815,0.407999992,0.497999981
Once Upon a Time in Mexico ,55845943,0.620000005,0.316249996,0.55400002
Play It to the Bone ,8427204,0.580499999,0.541500002,0.398000002
Fruitvale Station ,16097842,0.688000023,0.367000014,0.518999994
Valiant ,19447478,0.879999995,0.745000005,0.903999984
Captain America: The First Avenger ,176636816,0.346000001,0.752999997,0.74000001
Couples Retreat ,109176215,0.627999991,0.472250007,0.530999996
The Godfather: Part II ,57300000,0.498199993,0.401399994,0.401999998
Last Action Hero ,50016394,0.794249997,0.735250011,0.760249987
The Help ,169705587,0.744499981,0.403999999,0.582499996
The Hunting Party ,876671,0.57433334,0.786333323,0.616333326
The Hunger Games: Mockingjay - Part 1 ,337103873,0.501571429,0.504571429,0.401857142
Bad Boys ,65807024,0.234500006,0.587250002,0.39175
America's Sweethearts ,93607673,0.958999991,0.423000008,0.509000003
In Her Line of Fire ,721,0.443333328,0.493666674,0.502833327
Jaws 2 ,102922376,0.442499995,0.518999994,0.4375
Evil Dead II ,5923044,0.078333336,0.709999998,0.431000014
Morning Glory ,30993544,0.726000011,0.418000008,0.535333325
The Lawnmower Man ,32101000,0.604250006,0.544750005,0.613000005
